94,Dominican Republic,14.1,..,25.9,..,25,..,25.1,..,22.3,..,19.2,..,17.4,..,..,..,15.2,..
86,Ecuador,14.5,..,15.4,..,17.6,..,15.4,..,12.5,..,11,..,8.2,..,6.5,..,5.9,..
115,Egypt,..,..,0.7,..,2.2,..,3.1,..,2.5,..,..,..,..,..,..,..,..,..
121,El Salvador,60.5,..,64.4,..,64.7,..,70.6,..,41.7,..,40.2,..,62.4,..,105.4,..,82.8,..
141,Equatorial Guinea,3.3,..,2.9,..,2.6,..,..,..,..,..,..,..,..,..,2.3,..,..,..
179,Eritrea,9.9,..,9.6,..,8.9,..,..,..,..,..,..,..,..,..,8,..,..,..
30,Estonia,10.2,..,8.3,..,5.3,..,4.9,..,4.8,..,3.9,..,3.1,..,3.2,..,..,..
144,Eswatini (Kingdom of),..,..,13.7,..,17.3,..,..,..,..,..,..,..,..,..,..,..,..,..
173,Ethiopia,10.7,..,9.4,..,8.5,..,..,..,..,..,..,..,..,..,7.6,..,..,..
92,Fiji,..,..,2.8,..,2.3,..,2.3,..,2.3,..,2.2,..,2.3,..,..,..,..,..
15,Finland,2.9,..,2.3,..,2.2,..,2,..,1.6,..,1.6,..,1.6,..,1.5,..,1.4,..
24,France,1.8,..,1.6,..,1.3,..,1.4,..,1.2,..,1.2,..,1.2,..,1.6,..,1.4,..
110,Gabon,10.8,..,11,..,8.7,..,..,..,..,..,..,..,..,..,8,..,..,..
174,Gambia,12.4,..,9.8,..,9.8,..,..,..,..,..,..,..,..,..,9.1,..,..,..
70,Georgia,5.1,..,9,..,4.4,..,..,..,..,..,..,..,2.7,..,..,..,1,..
5,Germany,1.2,..,1.1,..,1,..,0.9,..,0.8,..,0.8,..,0.9,..,0.8,..,1.2,..
140,Ghana,..,..,1.8,..,1.7,..,1.7,..,..,..,..,..,..,..,..,..,..,..
31,Greece,..,..,1.2,..,1.5,..,1.6,..,1.5,..,1.4,..,0.9,..,0.8,..,0.8,..
75,Grenada,14.8,..,10.7,..,9.6,..,3.8,..,13.3,..,5.7,..,7.5,..,5.6,..,10.2,..
127,Guatemala,24.9,..,40.8,..,40.7,..,38,..,33.8,..,33.7,..,31.4,..,29.4,..,27.3,..
175,Guinea,10.9,..,10.1,..,9.4,..,..,..,..,..,..,..,..,..,8.8,..,..,..
177,Guinea-Bissau,13,..,11.7,..,10.5,..,..,..,..,..,..,..,..,..,9.6,..,..,..
125,Guyana,10.1,..,18.9,..,18.8,..,17.4,..,18.5,..,20.4,..,19.5,..,19.4,..,18.4,..
168,Haiti,..,..,..,..,6.8,..,9,..,10,..,..,..,..,..,..,..,..,..
133,Honduras,48.7,..,43.6,..,76.1,..,85.1,..,84.3,..,74.3,..,66.9,..,57.5,..,56.5,..
7,"Hong Kong, China (SAR)",0.6,..,0.5,..,0.5,..,0.2,..,0.4,..,0.9,..,0.4,..,0.3,..,0.4,..
45,Hungary,2,..,1.6,..,1.4,..,1.5,..,1.3,..,1.6,..,1.5,..,2.3,..,2.1,..
6,Iceland,1.8,..,1,..,0.6,..,0.9,..,0.3,..,0.3,..,0.6,..,0.9,..,0.3,..
130,India,4.9,..,3.9,..,3.8,..,3.8,..,3.8,..,3.6,..,3.7,..,3.4,..,3.2,..
116,Indonesia,1,..,..,..,0.4,..,0.6,..,0.6,..,0.6,..,0.5,..,0.6,..,0.5,..
